iter	Logloss
0	0.6899538305
1	0.6856307917
2	0.6829299437
3	0.6809616673
4	0.6765823717
5	0.6732107268
6	0.6694326839
7	0.6668394399
8	0.6626698292
9	0.6592537708
10	0.6556499658
11	0.6517630954
12	0.6481397714
13	0.6460789067
14	0.6425829947
15	0.6389829469
16	0.6345557026
17	0.6318365194
18	0.6288189985
19	0.624181624
20	0.6213818656
21	0.6187095543
22	0.6162848383
23	0.6129859555
24	0.6098451454
25	0.6079631969
26	0.6054384673
27	0.6018637079
28	0.5991679109
29	0.596840666
30	0.5951587888
31	0.5931008804
32	0.5890543601
33	0.5866822648
34	0.5838567728
35	0.581374554
36	0.5786477472
37	0.576027327
38	0.5735384594
39	0.5713086878
40	0.5687848876
41	0.5659480901
42	0.5630779412
43	0.5607865889
44	0.5580657854
45	0.5562158864
46	0.5535326012
47	0.5513434171
48	0.5495668939
49	0.5474256833
50	0.5446215557
51	0.5416400253
52	0.5399782242
53	0.5381013891
54	0.5361381053
55	0.5331186082
56	0.5309226344
57	0.5293241788
58	0.5260572039
59	0.5250116118
60	0.5234059717
61	0.521432987
62	0.5181765479
63	0.5163111451
64	0.5141864221
65	0.5118497752
66	0.5094980836
67	0.5071659144
68	0.5047602142
69	0.5030872723
70	0.5014194729
71	0.4993662184
72	0.4966777115
73	0.4946620829
74	0.4924609686
75	0.4901710458
76	0.4889247014
77	0.4866412781
78	0.4847911335
79	0.4828335749
80	0.4811721677
81	0.4786104608
82	0.4766003103
83	0.4749843748
84	0.4733615406
85	0.4714135179
86	0.4696953354
87	0.4679526791
88	0.4663367094
89	0.46432685
90	0.4626358346
91	0.4610481936
92	0.459701761
93	0.4574579134
94	0.4561122203
95	0.4532025092
96	0.4505549309
97	0.4487462262
98	0.4462444616
99	0.444816725
