iter	Passed	Remaining
0	23	11575
1	44	11153
2	66	10977
3	89	11055
4	110	10891
5	132	10876
6	154	10850
7	175	10816
8	197	10782
9	217	10681
10	242	10772
11	265	10813
12	288	10814
13	312	10837
14	333	10789
15	355	10768
16	377	10723
17	399	10693
18	422	10691
19	441	10596
20	464	10598
21	487	10589
22	509	10563
23	530	10524
24	550	10451
25	573	10449
26	597	10461
27	620	10463
28	644	10474
29	668	10477
30	692	10481
31	713	10439
32	737	10437
33	758	10402
34	780	10367
35	802	10347
36	823	10301
37	845	10278
38	867	10252
39	888	10220
40	909	10181
41	930	10150
42	952	10127
43	975	10112
44	998	10094
45	1021	10084
46	1044	10064
47	1063	10018
48	1087	10005
49	1107	9967
50	1131	9959
51	1157	9974
52	1181	9967
53	1204	9949
54	1226	9925
55	1249	9905
56	1269	9863
57	1292	9852
58	1315	9830
59	1336	9799
60	1359	9782
61	1381	9760
62	1403	9733
63	1424	9701
64	1445	9675
65	1471	9678
66	1493	9655
67	1514	9620
68	1535	9590
69	1559	9576
70	1577	9533
71	1598	9503
72	1619	9475
73	1644	9466
74	1663	9429
75	1685	9401
76	1707	9380
77	1729	9356
78	1751	9331
79	1773	9312
80	1795	9289
81	1818	9269
82	1843	9261
83	1862	9223
84	1884	9203
85	1907	9184
86	1929	9161
87	1950	9132
88	1972	9109
89	1991	9072
90	2011	9042
91	2032	9011
92	2056	9000
93	2076	8969
94	2098	8947
95	2122	8931
96	2142	8901
97	2165	8882
98	2188	8863
99	2209	8838
100	2229	8808
101	2250	8779
102	2271	8754
103	2292	8730
104	2314	8707
105	2337	8688
106	2360	8670
107	2381	8644
108	2403	8621
109	2424	8597
110	2443	8562
111	2462	8532
112	2483	8504
113	2506	8485
114	2529	8467
115	2550	8444
116	2575	8430
117	2596	8406
118	2619	8386
119	2639	8359
120	2661	8336
121	2682	8310
122	2706	8295
123	2728	8272
124	2750	8250
125	2773	8232
126	2796	8212
127	2817	8187
128	2840	8169
129	2860	8142
130	2883	8121
131	2905	8101
132	2930	8086
133	2954	8069
134	2975	8044
135	2995	8017
136	3017	7995
137	3040	7975
138	3061	7951
139	3082	7926
140	3106	7908
141	3130	7892
142	3152	7869
143	3174	7849
144	3196	7825
145	3215	7796
146	3234	7767
147	3256	7744
148	3280	7728
149	3300	7701
150	3322	7679
151	3346	7662
152	3368	7639
153	3390	7617
154	3413	7597
155	3434	7572
156	3455	7548
157	3479	7531
158	3504	7515
159	3525	7492
160	3545	7465
161	3567	7444
162	3591	7425
163	3610	7397
164	3631	7372
165	3653	7351
166	3674	7327
167	3694	7300
168	3714	7276
169	3734	7249
170	3755	7225
171	3777	7203
172	3798	7180
173	3820	7158
174	3844	7140
175	3865	7115
176	3887	7094
177	3908	7069
178	3929	7046
179	3949	7021
180	3971	6998
181	3992	6976
182	4015	6956
183	4037	6934
184	4057	6909
185	4081	6890
186	4102	6867
187	4123	6842
188	4142	6816
189	4165	6795
190	4187	6774
191	4209	6752
192	4229	6727
193	4250	6705
194	4275	6687
195	4294	6660
196	4315	6637
197	4336	6614
198	4357	6590
199	4380	6571
200	4402	6548
201	4424	6526
202	4444	6501
203	4466	6480
204	4487	6457
205	4506	6431
206	4527	6408
207	4546	6383
208	4568	6361
209	4589	6338
210	4611	6315
211	4636	6298
212	4659	6278
213	4682	6257
214	4704	6235
215	4726	6214
216	4746	6189
217	4771	6172
218	4792	6149
219	4812	6124
220	4833	6101
221	4854	6078
222	4875	6056
223	4898	6035
224	4919	6012
225	4940	5989
226	4962	5967
227	4982	5944
228	5004	5922
229	5025	5899
230	5048	5879
231	5071	5858
232	5091	5834
233	5113	5812
234	5134	5789
235	5155	5766
236	5178	5746
237	5198	5722
238	5221	5702
239	5243	5680
240	5265	5658
241	5287	5637
242	5308	5614
243	5329	5591
244	5350	5569
245	5370	5545
246	5393	5524
247	5415	5503
248	5437	5481
249	5459	5459
250	5482	5438
251	5502	5415
252	5523	5392
253	5545	5371
254	5564	5346
255	5585	5323
256	5605	5300
257	5626	5277
258	5648	5256
259	5669	5233
260	5689	5209
261	5711	5187
262	5734	5167
263	5755	5145
264	5780	5126
265	5804	5106
266	5828	5085
267	5852	5066
268	5873	5044
269	5892	5019
270	5912	4996
271	5932	4973
272	5954	4951
273	5977	4929
274	5997	4907
275	6018	4884
276	6041	4863
277	6063	4841
278	6085	4820
279	6106	4797
280	6125	4774
281	6148	4752
282	6170	4731
283	6189	4707
284	6210	4685
285	6235	4665
286	6254	4642
287	6277	4620
288	6298	4598
289	6318	4575
290	6340	4554
291	6361	4531
292	6380	4507
293	6401	4485
294	6420	4461
295	6441	4439
296	6463	4417
297	6486	4396
298	6507	4374
299	6527	4351
300	6549	4330
301	6571	4308
302	6594	4287
303	6615	4265
304	6637	4243
305	6658	4221
306	6678	4198
307	6699	4176
308	6722	4155
309	6746	4134
310	6771	4115
311	6792	4093
312	6815	4071
313	6838	4050
314	6858	4028
315	6881	4006
316	6902	3984
317	6921	3961
318	6943	3939
319	6965	3917
320	6985	3895
321	7005	3872
322	7030	3852
323	7050	3829
324	7071	3807
325	7093	3786
326	7114	3764
327	7136	3742
328	7160	3721
329	7181	3699
330	7202	3677
331	7225	3656
332	7247	3634
333	7271	3614
334	7294	3592
335	7318	3572
336	7341	3551
337	7361	3528
338	7381	3505
339	7400	3482
340	7420	3460
341	7443	3438
342	7467	3417
343	7489	3396
344	7512	3375
345	7533	3352
346	7552	3330
347	7572	3307
348	7593	3285
349	7615	3263
350	7634	3240
351	7656	3219
352	7675	3196
353	7698	3175
354	7718	3152
355	7741	3131
356	7763	3109
357	7786	3088
358	7808	3066
359	7830	3045
360	7852	3023
361	7873	3001
362	7896	2980
363	7919	2958
364	7941	2937
365	7962	2915
366	7986	2894
367	8008	2872
368	8028	2850
369	8051	2828
370	8075	2807
371	8096	2785
372	8116	2763
373	8136	2741
374	8159	2719
375	8183	2698
376	8204	2676
377	8226	2655
378	8248	2633
379	8269	2611
380	8289	2589
381	8312	2567
382	8331	2545
383	8352	2523
384	8373	2501
385	8393	2478
386	8413	2456
387	8435	2434
388	8455	2412
389	8477	2391
390	8500	2369
391	8523	2348
392	8545	2326
393	8570	2305
394	8590	2283
395	8609	2261
396	8630	2239
397	8652	2217
398	8675	2196
399	8700	2175
400	8722	2153
401	8744	2131
402	8766	2110
403	8791	2089
404	8813	2067
405	8837	2046
406	8859	2024
407	8884	2003
408	8905	1981
409	8926	1959
410	8949	1937
411	8969	1915
412	8992	1894
413	9012	1872
414	9033	1850
415	9056	1828
416	9079	1807
417	9099	1785
418	9120	1763
419	9141	1741
420	9163	1719
421	9185	1697
422	9206	1675
423	9228	1654
424	9248	1632
425	9269	1610
426	9290	1588
427	9315	1567
428	9337	1545
429	9360	1523
430	9380	1501
431	9403	1480
432	9427	1458
433	9453	1437
434	9474	1415
435	9494	1393
436	9515	1371
437	9534	1349
438	9557	1328
439	9579	1306
440	9600	1284
441	9622	1262
442	9646	1241
443	9666	1219
444	9687	1197
445	9710	1175
446	9729	1153
447	9753	1132
448	9776	1110
449	9796	1088
450	9817	1066
451	9842	1045
452	9861	1023
453	9881	1001
454	9902	979
455	9921	957
456	9949	936
457	9969	914
458	9993	892
459	10013	870
460	10032	848
461	10054	826
462	10074	805
463	10093	783
464	10115	761
465	10136	739
466	10158	717
467	10178	695
468	10200	674
469	10224	652
470	10247	630
471	10270	609
472	10292	587
473	10315	565
474	10335	543
475	10358	522
476	10379	500
477	10401	478
478	10421	456
479	10444	435
480	10465	413
481	10486	391
482	10506	369
483	10527	348
484	10550	326
485	10574	304
486	10595	282
487	10616	261
488	10635	239
489	10657	217
490	10678	195
491	10699	173
492	10720	152
493	10741	130
494	10763	108
495	10787	86
496	10812	65
497	10833	43
498	10859	21
499	10882	0
