iter	Passed	Remaining
0	64	32249
1	68	17057
2	71	11862
3	74	9219
4	77	7631
5	79	6564
6	82	5803
7	85	5237
8	87	4788
9	90	4429
10	93	4142
11	95	3895
12	98	3688
13	101	3510
14	103	3354
15	106	3222
16	109	3103
17	111	2995
18	114	2897
19	117	2812
20	119	2733
21	122	2664
22	125	2599
23	128	2538
24	130	2485
25	133	2433
26	136	2383
27	138	2338
28	141	2296
29	144	2259
30	147	2228
31	149	2191
32	152	2157
33	155	2126
34	157	2095
35	160	2065
36	163	2040
37	165	2013
38	168	1988
39	170	1966
40	173	1943
41	176	1921
42	178	1901
43	181	1880
44	184	1862
45	186	1843
46	189	1831
47	192	1815
48	195	1799
49	198	1783
50	200	1767
51	203	1753
52	206	1737
53	208	1724
54	211	1710
55	214	1697
56	216	1684
57	219	1671
58	222	1662
59	225	1650
60	227	1638
61	230	1626
62	232	1615
63	235	1604
64	238	1594
65	240	1583
66	243	1572
67	246	1563
68	248	1553
69	251	1544
70	254	1535
71	256	1527
72	259	1518
73	262	1510
74	265	1501
75	267	1493
76	270	1485
77	272	1476
78	275	1469
79	278	1462
80	281	1454
81	283	1447
82	286	1439
83	289	1431
84	291	1424
85	294	1418
86	297	1411
87	300	1404
88	302	1397
89	305	1390
90	308	1384
91	310	1378
92	313	1374
93	316	1367
94	319	1361
95	321	1354
96	324	1349
97	327	1342
98	329	1336
99	332	1330
100	335	1324
101	337	1318
102	340	1312
103	343	1306
104	345	1300
105	348	1295
106	351	1289
107	353	1284
108	356	1278
109	358	1272
110	361	1267
111	364	1262
112	367	1257
113	369	1252
114	372	1247
115	375	1241
116	377	1236
117	380	1231
118	382	1226
119	385	1221
120	388	1216
121	391	1211
122	393	1206
123	396	1202
124	399	1197
125	401	1192
126	404	1187
127	407	1184
128	410	1179
129	412	1174
130	415	1170
131	418	1165
132	420	1161
133	423	1156
134	426	1152
135	428	1147
136	431	1143
137	434	1140
138	437	1136
139	440	1132
140	443	1128
141	445	1124
142	448	1120
143	451	1115
144	453	1111
145	457	1108
146	460	1106
147	463	1103
148	466	1099
149	469	1095
150	472	1092
151	475	1089
152	479	1087
153	482	1084
154	485	1081
155	489	1078
156	492	1075
157	495	1071
158	498	1068
159	500	1064
160	503	1060
161	506	1056
162	509	1052
163	511	1048
164	514	1044
165	517	1040
166	519	1036
167	522	1032
168	525	1029
169	528	1025
170	530	1021
171	533	1017
172	536	1014
173	539	1010
174	541	1006
175	544	1002
176	547	999
177	550	996
178	553	992
179	556	989
180	559	985
181	561	981
182	564	978
183	567	974
184	570	970
185	572	967
186	575	963
187	578	959
188	581	956
189	583	952
190	586	948
191	589	945
192	592	942
193	595	938
194	597	935
195	600	931
196	603	928
197	606	924
198	608	920
199	611	917
200	614	913
201	616	909
202	619	906
203	622	902
204	624	898
205	627	895
206	630	891
207	632	888
208	635	884
209	638	881
210	640	877
211	643	874
212	646	870
213	649	867
214	651	863
215	654	860
216	656	856
217	659	852
218	661	849
219	664	845
220	667	843
221	670	839
222	673	835
223	675	832
224	678	829
225	681	825
226	683	822
227	686	818
228	689	815
229	691	812
230	694	808
231	697	805
232	699	801
233	702	798
234	704	794
235	707	791
236	710	788
237	713	784
238	716	782
239	719	778
240	721	775
241	724	772
242	727	768
243	729	765
244	732	762
245	735	759
246	738	755
247	740	752
248	743	749
249	746	746
250	749	743
251	751	739
252	754	736
253	757	733
254	759	729
255	762	726
256	765	723
257	767	720
